PFco_Code,segment,risk_category,priority,action,current_stock_kg,predicted_need_kg,safety_stock_kg,restock_qty_kg,turnover_ratio,stockout_pct,overstock_pct,suggestion
3005,slow moving,overstock,RENDAH,KURANGI STOK,820.69,0.0,269.33,0.0,0.11,0.0,38.46,Stok berlebih (821 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
3007,slow moving,overstock,RENDAH,KURANGI STOK,25.49,0.0,6.52,0.0,0.98,0.0,0.0,Stok berlebih (25 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
3011,slow moving,overstock,RENDAH,KURANGI STOK,346.63,0.0,89.49,0.0,0.59,0.0,0.0,Stok berlebih (347 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
3012,slow moving,overstock,RENDAH,KURANGI STOK,330.31,0.0,44.44,0.0,0.61,0.0,100.0,Stok berlebih (330 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
3019,slow moving,overstock,RENDAH,KURANGI STOK,1979.49,0.0,330.14,0.0,0.78,0.0,0.0,Stok berlebih (1979 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
3031,slow moving,overstock,RENDAH,KURANGI STOK,26.1,0.0,11.14,0.0,0.26,0.0,0.0,Stok berlebih (26 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
3033,slow moving,overstock,RENDAH,KURANGI STOK,727.21,0.0,255.53,0.0,0.73,0.0,0.0,Stok berlebih (727 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
3036,medium moving,understock,TINGGI,TAMBAH STOK SEGERA,51.36,3447.93,555.1,3951.67,2.79,26.67,0.0,Stok kurang (51 Kg vs kebutuhan 3448 Kg). Segera restock minimal 3397 Kg + safety stock 555 Kg.
3045,slow moving,perlu_perhatian,RENDAH,MONITOR & SIAPKAN,986.12,1676.79,302.92,1844.47,0.46,0.0,0.0,Stok mendekati batas minimum. Siapkan order pembelian 1677 Kg untuk periode berikutnya.
3063,slow moving,understock,RENDAH,TAMBAH STOK SEGERA,394.95,1040.94,231.97,877.96,1.47,6.25,0.0,Stok kurang (395 Kg vs kebutuhan 1041 Kg). Segera restock minimal 646 Kg + safety stock 232 Kg.
3065,slow moving,overstock,RENDAH,KURANGI STOK,37.75,0.0,8.39,0.0,0.9,0.0,0.0,Stok berlebih (38 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
3074,slow moving,optimal,RENDAH,PERTAHANKAN,3269.67,3444.1,314.84,3444.1,0.68,0.0,23.08,Stok dalam kondisi optimal (3270 Kg). Pertahankan pola restocking saat ini.
3079,slow moving,overstock,RENDAH,KURANGI STOK,311.85,0.0,53.36,0.0,0.8,0.0,0.0,Stok berlebih (312 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
3084,slow moving,overstock,RENDAH,KURANGI STOK,357.2,0.0,58.16,0.0,0.7,0.0,0.0,Stok berlebih (357 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
3090,slow moving,overstock,RENDAH,KURANGI STOK,2.85,0.0,8.22,0.0,0.18,3.57,3.57,Stok berlebih (3 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
3107,slow moving,overstock,RENDAH,KURANGI STOK,67.99,0.0,91.13,0.0,0.12,0.0,7.69,Stok berlebih (68 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
